Kayıt 1: 		 Küme 1
Kayıt 2: 		 Küme 1
Kayıt 3: 		 Küme 3
Kayıt 4: 		 Küme 3
Kayıt 5: 		 Küme 1
Kayıt 6: 		 Küme 3
Kayıt 7: 		 Küme 1
Kayıt 8: 		 Küme 3
Kayıt 9: 		 Küme 1
Kayıt 10: 		 Küme 1
Kayıt 11: 		 Küme 1
Kayıt 12: 		 Küme 1
Kayıt 13: 		 Küme 1
Kayıt 14: 		 Küme 1
Kayıt 15: 		 Küme 1
Kayıt 16: 		 Küme 1
Kayıt 17: 		 Küme 3
Kayıt 18: 		 Küme 3
Kayıt 19: 		 Küme 3
Kayıt 20: 		 Küme 1
Kayıt 21: 		 Küme 1
Kayıt 22: 		 Küme 1
Kayıt 23: 		 Küme 1
Kayıt 24: 		 Küme 1
Kayıt 25: 		 Küme 1
Kayıt 26: 		 Küme 1
Kayıt 27: 		 Küme 1
Kayıt 28: 		 Küme 1
Kayıt 29: 		 Küme 1
Kayıt 30: 		 Küme 3
Kayıt 31: 		 Küme 3
Kayıt 32: 		 Küme 3
Kayıt 33: 		 Küme 1
Kayıt 34: 		 Küme 3
Kayıt 35: 		 Küme 1
Kayıt 36: 		 Küme 3
Kayıt 37: 		 Küme 3
Kayıt 38: 		 Küme 1
Kayıt 39: 		 Küme 3
Kayıt 40: 		 Küme 1
Kayıt 41: 		 Küme 3
Kayıt 42: 		 Küme 3
Kayıt 43: 		 Küme 1
Kayıt 44: 		 Küme 1
Kayıt 45: 		 Küme 1
Kayıt 46: 		 Küme 1
Kayıt 47: 		 Küme 1
Kayıt 48: 		 Küme 1
Kayıt 49: 		 Küme 1
Kayıt 50: 		 Küme 1
Kayıt 51: 		 Küme 2
Kayıt 52: 		 Küme 1
Kayıt 53: 		 Küme 1
Kayıt 54: 		 Küme 3
Kayıt 55: 		 Küme 1
Kayıt 56: 		 Küme 1
Kayıt 57: 		 Küme 3
Kayıt 58: 		 Küme 3
Kayıt 59: 		 Küme 1
Kayıt 60: 		 Küme 3
Kayıt 61: 		 Küme 1
Kayıt 62: 		 Küme 1
Kayıt 63: 		 Küme 3
