Kayıt 1: 		 Küme 2
Kayıt 2: 		 Küme 2
Kayıt 3: 		 Küme 2
Kayıt 4: 		 Küme 2
Kayıt 5: 		 Küme 2
Kayıt 6: 		 Küme 2
Kayıt 7: 		 Küme 2
Kayıt 8: 		 Küme 2
Kayıt 9: 		 Küme 2
Kayıt 10: 		 Küme 2
Kayıt 11: 		 Küme 2
Kayıt 12: 		 Küme 2
Kayıt 13: 		 Küme 2
Kayıt 14: 		 Küme 2
Kayıt 15: 		 Küme 2
Kayıt 16: 		 Küme 2
Kayıt 17: 		 Küme 2
Kayıt 18: 		 Küme 2
Kayıt 19: 		 Küme 2
Kayıt 20: 		 Küme 2
Kayıt 21: 		 Küme 2
Kayıt 22: 		 Küme 2
Kayıt 23: 		 Küme 2
Kayıt 24: 		 Küme 2
Kayıt 25: 		 Küme 2
Kayıt 26: 		 Küme 2
Kayıt 27: 		 Küme 2
Kayıt 28: 		 Küme 2
Kayıt 29: 		 Küme 2
Kayıt 30: 		 Küme 2
Kayıt 31: 		 Küme 2
Kayıt 32: 		 Küme 2
Kayıt 33: 		 Küme 2
Kayıt 34: 		 Küme 2
Kayıt 35: 		 Küme 2
Kayıt 36: 		 Küme 2
Kayıt 37: 		 Küme 2
Kayıt 38: 		 Küme 2
Kayıt 39: 		 Küme 2
Kayıt 40: 		 Küme 2
Kayıt 41: 		 Küme 2
Kayıt 42: 		 Küme 2
Kayıt 43: 		 Küme 2
Kayıt 44: 		 Küme 2
Kayıt 45: 		 Küme 2
Kayıt 46: 		 Küme 2
Kayıt 47: 		 Küme 2
Kayıt 48: 		 Küme 2
Kayıt 49: 		 Küme 2
Kayıt 50: 		 Küme 2
Kayıt 51: 		 Küme 3
Kayıt 52: 		 Küme 2
Kayıt 53: 		 Küme 2
Kayıt 54: 		 Küme 2
Kayıt 55: 		 Küme 2
Kayıt 56: 		 Küme 2
Kayıt 57: 		 Küme 2
Kayıt 58: 		 Küme 2
Kayıt 59: 		 Küme 3
Kayıt 60: 		 Küme 2
Kayıt 61: 		 Küme 2
Kayıt 62: 		 Küme 2
Kayıt 63: 		 Küme 2
Kayıt 64: 		 Küme 2
Kayıt 65: 		 Küme 2
Kayıt 66: 		 Küme 2
Kayıt 67: 		 Küme 2
